ips:
exkor: 71.121.218.145
catequei: 217.138.215.154
terjanq: 194.110.115.10
losinqq: 47.215.139.175
audsis: 46.21.99.19
crystalmancy: 185.255.130.40
seanhoughfan: 47.215.139.175
pexku: 85.76.14.94
killarmenians: 85.76.14.94
ilovefemboys: 37.120.192.133
lyric: 147.12.189.162
autowincc: 151.236.17.228 
0w0: 95.91.217.184
geolight: 178.155.4.249
asdqrwy: 58.187.191.240
blutest: 90.240.200.155
hazimpro1: 175.145.39.221
egoroff1: 185.16.137.218
uffo: 37.79.43.135
zapped: 74.77.111.95
2b2tcat: 95.25.139.151
baitpl: 82.66.47.93
jesushack: 94.195.138.49
2b2tismine/exodus: 96.32.233.191
c43f: 73.148.176.90
pvpholic: 94.225.116.192
ratuquei: 94.225.116.192
zzzzzbedtime: 217.138.215.154
saliolaluna: 193.32.126.214 
_cpv: 146.70.116.122
bitcoinful: 95.76.60.136/213.233.108.61
money_monster24: 123.3.158.56
money_monster24-2: 103.137.14.172
ghostofii: 136.55.0.218
buildheight: 96.253.43.13
osamiyui(old chinese pvper): 202.163.2.102

envoxy: 185.192.16.35
ilikehousing: 172.92.196.114
dbear: 86.168.107.120
Deviousrascal: 185.192.16.35
VALSER — Today at 9:52 AM
cannibalise: 24.135.207.176
nodebuft: 149.28.103.137 
newying: 139.177.246.103
canonballs90: 98.211.65.213
aidrob: 79.77.90.164
fyphix: 2.84.188.43
brotherismad: 89.47.62.105
bunger: 18.185.19.41
qfuckme2022: 181.214.240.67
reformedfrisky: 24.135.212.251
bitcoinwinner: 147.12.189.162
